Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/CAD,0.932730,0.000070000,-0.2968,-0.1410,0.00010,0.074201,0,20.000,1000.00,0.300,AUD/CAD
AUD/CHF,0.694820,0.000070000,0.5379,-1.2949,0.00010,0.099611,0,20.002,1000.00,0.300,AUD/CHF
AUD/JPY,75.70,0.00400000,0.0914,-0.5394,0.01000,0.091425,0,20.001,1000.00,0.300,AUD/JPY
AUD/NZD,1.05671,0.000100000,-0.3078,-0.2227,0.00010,0.065495,0,20.000,1000.00,0.300,AUD/NZD
AUD/USD,0.692120,0.000050000,-0.4100,-0.0100,0.00010,0.100000,0,20.000,1000.00,0.300,AUD/USD
CAD/CHF,0.745020,0.000070000,0.7371,-1.4144,0.00010,0.099608,0,30.007,1000.00,0.300,CAD/CHF
CAD/JPY,81.17,0.00500000,0.2468,-0.6034,0.01000,0.091425,0,30.006,1000.00,0.300,CAD/JPY
CHF/JPY,108.94,0.00800000,-0.7863,-0.1280,0.01000,0.091425,0,30.002,1000.00,0.300,CHF/JPY
EUR/AUD,1.61649,0.000110000,-0.9066,0.2284,0.00010,0.069206,0,20.000,1000.00,0.300,EUR/AUD
EUR/CAD,1.50769,0.000100000,-0.9349,0.4304,0.00010,0.074201,0,30.004,1000.00,0.300,EUR/CAD
EUR/CHF,1.12329,0.000080000,-0.2391,-0.7570,0.00010,0.099608,0,30.008,1000.00,0.300,EUR/CHF
EUR/GBP,0.883030,0.000040000,-0.6714,-0.0253,0.00010,0.126686,0,30.004,1000.00,0.300,EUR/GBP
EUR/JPY,122.37,0.00600000,-0.3566,-0.2468,0.01000,0.091425,0,30.005,1000.00,0.300,EUR/JPY
EUR/NOK,9.73135,0.000790000,-1.4833,0.4162,0.00010,0.011498,0,20.004,1000.00,0.300,EUR/NOK
EUR/NZD,1.70809,0.000160000,-0.9693,0.3078,0.00010,0.065495,0,20.000,1000.00,0.300,EUR/NZD
EUR/SEK,10.69,0.000990000,-0.8684,-0.1946,0.00010,0.010463,0,20.004,1000.00,0.300,EUR/SEK
EUR/USD,1.11873,0.000020000,-1.2100,0.6800,0.00010,0.100000,0,30.003,1000.00,0.300,EUR/USD
GBP/AUD,1.83068,0.000120000,-0.7128,-0.1730,0.00010,0.069206,0,20.000,1000.00,0.300,GBP/AUD
GBP/CAD,1.70750,0.000140000,-0.6752,-0.0074,0.00010,0.074201,0,30.004,1000.00,0.300,GBP/CAD
GBP/CHF,1.27213,0.000140000,0.7172,-2.0918,0.00010,0.099608,0,30.008,1000.00,0.300,GBP/CHF
GBP/JPY,138.59,0.01000000,-0.1280,-0.7223,0.01000,0.091425,0,30.005,1000.00,0.300,GBP/JPY
GBP/NOK,11.02,0.00160000,-0.8808,-0.5220,0.00010,0.011498,0,20.004,1000.00,0.300,GBP/NOK
GBP/NZD,1.93447,0.000200000,-0.8449,-0.1703,0.00010,0.065495,0,20.000,1000.00,0.300,GBP/NZD
GBP/SEK,12.11,0.00182000,-0.1528,-1.2493,0.00010,0.010463,0,20.003,1000.00,0.300,GBP/SEK
GBP/USD,1.26700,0.000060000,-1.0700,0.2900,0.00010,0.100000,0,30.003,1000.00,0.300,GBP/USD
NZD/CAD,0.882730,0.000090000,-0.2300,-0.1707,0.00010,0.074201,0,20.001,1000.00,0.300,NZD/CAD
NZD/CHF,0.657630,0.000080000,0.4781,-1.3148,0.00010,0.099608,0,20.002,1000.00,0.300,NZD/CHF
NZD/JPY,71.64,0.00500000,0.1371,-0.5486,0.01000,0.091425,0,20.001,1000.00,0.300,NZD/JPY
NZD/USD,0.655000,0.000050000,-0.3400,-0.0500,0.00010,0.100000,0,20.000,1000.00,0.300,NZD/USD
USD/CAD,1.34773,0.000060000,-0.0223,-0.4378,0.00010,0.074201,0,30.004,1000.00,0.300,USD/CAD
USD/CHF,1.00401,0.000080000,1.4343,-2.4703,0.00010,0.099608,0,30.005,1000.00,0.300,USD/CHF
USD/JPY,109.38,0.00500000,0.5394,-1.0148,0.01000,0.091425,0,30.004,1000.00,0.300,USD/JPY
USD/NOK,8.69762,0.000630000,0.3311,-1.2556,0.00010,0.011498,0,20.002,1000.00,0.300,USD/NOK
USD/SEK,9.55851,0.000920000,0.8768,-1.8017,0.00010,0.010463,0,20.002,1000.00,0.300,USD/SEK
