Time Period,SGD
2020-06-05,0.0369
2020-06-04,0.0377
2020-06-03,0.0286
2020-06-02,0.0371
2020-06-01,0.0545
2020-05-31,0.1246
2020-05-30,0.1246
2020-05-29,0.1246
2020-05-28,0.0897
2020-05-27,0.0838
2020-05-26,0.0883
2020-05-25,0.0429
2020-05-24,0.0429
2020-05-23,0.0429
2020-05-22,0.0429
2020-05-21,0.0518
2020-05-20,0.0150
2020-05-19,0.0135
2020-05-18,0.0152
2020-05-17,0.0235
2020-05-16,0.0235
2020-05-15,0.0235
2020-05-14,0.0207
2020-05-13,0.0269
2020-05-12,0.0500
2020-05-11,0.0458
2020-05-10,0.0388
2020-05-09,0.0388
2020-05-08,0.0388
2020-05-07,0.0387
2020-05-06,0.0387
2020-05-05,0.0708
2020-05-04,0.0849
2020-05-03,0.0879
2020-05-02,0.0879
2020-05-01,0.0879
2020-04-30,0.0879
2020-04-29,0.1516
2020-04-28,0.1175
2020-04-27,0.1393
2020-04-26,0.0805
2020-04-25,0.0805
2020-04-24,0.0805
2020-04-23,0.0704
2020-04-22,0.0723
2020-04-21,0.0550
2020-04-20,0.1123
2020-04-19,0.1952
2020-04-18,0.1952
2020-04-17,0.1952
2020-04-16,0.3678
2020-04-15,0.4392
2020-04-14,0.3969
2020-04-13,0.3271
2020-04-12,0.6151
2020-04-11,0.6151
2020-04-10,0.6151
2020-04-09,0.6151
2020-04-08,0.6002
2020-04-07,0.4194
2020-04-06,0.2391
2020-04-05,0.2481
2020-04-04,0.2481
2020-04-03,0.2481
2020-04-02,0.2404
2020-04-01,0.2545
2020-03-31,0.2670
2020-03-30,0.2091
2020-03-29,0.1636
2020-03-28,0.1636
2020-03-27,0.1636
2020-03-26,0.2559
2020-03-25,0.2272
2020-03-24,0.2191
2020-03-23,0.3313
2020-03-22,0.5115
2020-03-21,0.5115
2020-03-20,0.5115
2020-03-19,0.4505
2020-03-18,0.5029
2020-03-17,0.5800
2020-03-16,0.3803
2020-03-15,0.5155
2020-03-14,0.5155
2020-03-13,0.5155
2020-03-12,0.5165
2020-03-11,0.3967
2020-03-10,0.6182
2020-03-09,0.7093
2020-03-08,0.6843
2020-03-07,0.6843
2020-03-06,0.6843
2020-03-05,0.5118
2020-03-04,0.5175
2020-03-03,0.6216
2020-03-02,0.8472
2020-03-01,1.2581
2020-02-29,1.2581
2020-02-28,1.2581
2020-02-27,0.9498
2020-02-26,0.9239
2020-02-25,0.9665
2020-02-24,0.9250
2020-02-23,0.7445
2020-02-22,0.7445
2020-02-21,0.7445
2020-02-20,0.6284
2020-02-19,1.0811
2020-02-18,1.1336
2020-02-17,0.9734
2020-02-16,1.0650
